BOND_L,nan,CLOSE_PRICE_AMT,isNotNull,()
BOND_L,nan,CLOSE_PRICE_AMT,isGreaterThan,(0)
BOND_L,nan,CLOSE_PRICE_AMT,isLessThan,nan
BOND_L,nan,CLOSE_PRICE_AMT,AmtIsLessThan,(1 000 000 000, 'CAD', CURRENCY)
BOND_L,nan,CLOSE_PRICE_AMT,inDomain,nan
BOND_L,nan,CURRENCY,isNotNull,()
BOND_L,nan,CURRENCY,isGreaterThan,nan
BOND_L,nan,CURRENCY,isLessThan,nan
BOND_L,nan,CURRENCY,AmtIsLessThan,nan
BOND_L,nan,CURRENCY,inDomain,(Currency_3_Cd)
BOND_L,nan,ISSUER_ID,isNotNull,()
BOND_L,nan,ISSUER_ID,isGreaterThan,nan
BOND_L,nan,ISSUER_ID,isLessThan,nan
BOND_L,nan,ISSUER_ID,AmtIsLessThan,nan
BOND_L,nan,ISSUER_ID,inDomain,nan
BOND_L,nan,ISSUE_DATE,isNotNull,()
BOND_L,nan,ISSUE_DATE,isGreaterThan,nan
BOND_L,nan,ISSUE_DATE,isLessThan,(MATURITY_DATE)
BOND_L,nan,ISSUE_DATE,AmtIsLessThan,nan
BOND_L,nan,ISSUE_DATE,inDomain,nan
BOND_L,nan,MATURITY_DATE,isNotNull,()
BOND_L,nan,MATURITY_DATE,isGreaterThan,(START_DATE)
BOND_L,nan,MATURITY_DATE,isLessThan,nan
BOND_L,nan,MATURITY_DATE,AmtIsLessThan,nan
BOND_L,nan,MATURITY_DATE,inDomain,nan
BOND_L,nan,NOTIONAL,isNotNull,()
BOND_L,nan,NOTIONAL,isGreaterThan,(0)
BOND_L,nan,NOTIONAL,isLessThan,nan
BOND_L,nan,NOTIONAL,AmtIsLessThan,(1 000 000 000, 'CAD', CURRENCY)
BOND_L,nan,NOTIONAL,inDomain,nan
BOND_L,nan,BOND_TYPE,isNotNull,()
BOND_L,nan,BOND_TYPE,isGreaterThan,nan
BOND_L,nan,BOND_TYPE,isLessThan,nan
BOND_L,nan,BOND_TYPE,AmtIsLessThan,nan
BOND_L,nan,BOND_TYPE,inDomain,nan
CNV_BND_L,nan,CLOSE_PRICE,isNotNull,()
CNV_BND_L,nan,CLOSE_PRICE,isGreaterThan,(0)
CNV_BND_L,nan,CLOSE_PRICE,isLessThan,nan
CNV_BND_L,nan,CLOSE_PRICE,AmtIsLessThan,(1 000 000 000, 'CAD', CURRENCY)
CNV_BND_L,nan,CLOSE_PRICE,inDomain,nan
CNV_BND_L,nan,CURRENCY,isNotNull,()
CNV_BND_L,nan,CURRENCY,isGreaterThan,nan
CNV_BND_L,nan,CURRENCY,isLessThan,nan
CNV_BND_L,nan,CURRENCY,AmtIsLessThan,nan
CNV_BND_L,nan,CURRENCY,inDomain,(Currency_3_Cd)
CNV_BND_L,nan,ISSUER_ID,isNotNull,()
CNV_BND_L,nan,ISSUER_ID,isGreaterThan,nan
CNV_BND_L,nan,ISSUER_ID,isLessThan,nan
CNV_BND_L,nan,ISSUER_ID,AmtIsLessThan,nan
CNV_BND_L,nan,ISSUER_ID,inDomain,nan
CNV_BND_L,nan,ISSUE_DATE,isNotNull,()
CNV_BND_L,nan,ISSUE_DATE,isGreaterThan,nan
CNV_BND_L,nan,ISSUE_DATE,isLessThan,(MATURITY_DATE)
CNV_BND_L,nan,ISSUE_DATE,AmtIsLessThan,nan
CNV_BND_L,nan,ISSUE_DATE,inDomain,nan
CNV_BND_L,nan,MATURITY_DATE,isNotNull,()
CNV_BND_L,nan,MATURITY_DATE,isGreaterThan,(START_DATE)
CNV_BND_L,nan,MATURITY_DATE,isLessThan,nan
CNV_BND_L,nan,MATURITY_DATE,AmtIsLessThan,nan
CNV_BND_L,nan,MATURITY_DATE,inDomain,nan
CNV_BND_L,nan,NOTIONAL,isNotNull,()
CNV_BND_L,nan,NOTIONAL,isGreaterThan,(0.01)
CNV_BND_L,nan,NOTIONAL,isLessThan,(1 000 000 000)
CNV_BND_L,nan,NOTIONAL,AmtIsLessThan,nan
CNV_BND_L,nan,NOTIONAL,inDomain,nan
CNV_BND_L,nan,CTR_OBJECT_TYPE,isNotNull,()
CNV_BND_L,nan,CTR_OBJECT_TYPE,isGreaterThan,nan
CNV_BND_L,nan,CTR_OBJECT_TYPE,isLessThan,nan
CNV_BND_L,nan,CTR_OBJECT_TYPE,AmtIsLessThan,nan
CNV_BND_L,nan,CTR_OBJECT_TYPE,inDomain,nan
COLLATERAL_L,nan,CURRENCY,isNotNull,()
COLLATERAL_L,nan,CURRENCY,isGreaterThan,nan
COLLATERAL_L,nan,CURRENCY,isLessThan,nan
COLLATERAL_L,nan,CURRENCY,AmtIsLessThan,nan
COLLATERAL_L,nan,CURRENCY,inDomain,(Currency_3_Cd)
COLLATERAL_L,nan,NOTIONAL,isNotNull,()
COLLATERAL_L,nan,NOTIONAL,isGreaterThan,(0)
COLLATERAL_L,nan,NOTIONAL,isLessThan,nan
COLLATERAL_L,nan,NOTIONAL,AmtIsLessThan,(1 000 000 000, 'CAD', CURRENCY)
COLLATERAL_L,nan,NOTIONAL,inDomain,nan
COLLATERAL_L,nan,COLLATERAL_TYPE,isNotNull,()
COLLATERAL_L,nan,COLLATERAL_TYPE,isGreaterThan,nan
COLLATERAL_L,nan,COLLATERAL_TYPE,isLessThan,nan
COLLATERAL_L,nan,COLLATERAL_TYPE,AmtIsLessThan,nan
COLLATERAL_L,nan,COLLATERAL_TYPE,inDomain,nan
COLLATERAL_L,nan,COLLATERAL_ID,isNotNull,()
